bin,n_games,mean_predicted,observed_yrfi_rate,calibration_gap
"(0.019, 0.462]",2614,0.446081687391432,0.48355011476664117,0.03746842737520917
"(0.462, 0.463]",454,0.46341273818328765,0.4845814977973568,0.021168759614069166
"(0.463, 0.468]",1072,0.46841958219181623,0.5102611940298507,0.041841611838034476
"(0.468, 0.484]",2131,0.4783234713625082,0.48897231346785547,0.010648842105347278
"(0.484, 0.49]",530,0.4898303478634357,0.44150943396226416,-0.04832091390117155
"(0.49, 0.5]",1406,0.49870004605895607,0.5227596017069701,0.02405955564801404
"(0.5, 0.502]",1422,0.5015064319452738,0.49226441631504925,-0.009242015630224532
"(0.502, 0.512]",1277,0.5114361227341211,0.4941268598277212,-0.01730926290639989
"(0.512, 0.541]",1695,0.5300476831538546,0.4837758112094395,-0.04627187194441512
"(0.541, 0.98]",972,0.5605827160595759,0.5185185185185185,-0.04206419754105739
